Program,Year,Month,day,Week Ending,Geo Level,State,watershed_code,Commodity,Data Item,Domain,Domain Category,price,chicken,broken eggs,production eggs,chicken production,chicken died,Hatch chicken,chicken lay
SURVEY,2023,2,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.61,"50,031,000","181,566,000","8,225,300,000",,,"52,048,000","2,171"
SURVEY,2023,1,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,3,"47,370,000","188,508,000","8,225,300,000",,,"50,748,000","2,413"
SURVEY,2022,4,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.3,"53,971,000","190,571,000","8,225,300,000",,,"50,636,000","2,390"
SURVEY,2022,8,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.94,"57,156,000","209,396,000","8,225,300,000",,,"55,991,000","2,449"
SURVEY,2022,12,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,4.49,"49,852,000","181,674,000","8,225,300,000",,,"48,438,000","2,434"
SURVEY,2022,2,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.43,"48,452,000","185,281,000","8,225,300,000",,,"51,796,000","2,212"
SURVEY,2022,1,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.47,"51,822,000","200,884,000","8,225,300,000",,,"49,048,000","2,450"
SURVEY,2022,7,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.64,"46,372,000","185,080,000","8,225,300,000",,,"49,915,000","2,448"
SURVEY,2022,6,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.03,"45,360,000","190,484,000","8,225,300,000",,,"56,816,000","2,367"
SURVEY,2022,3,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.59,"49,652,000","210,749,000","8,225,300,000",,,"60,099,000","2,465"
SURVEY,2022,5,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.01,"57,677,000","190,067,000","8,225,300,000",,,"57,802,000","2,453"
SURVEY,2022,11,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,3.34,"51,046,000","195,913,000","8,225,300,000",,,"46,565,000","2,368"
SURVEY,2022,10,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.81,"47,299,000","181,224,000","8,225,300,000",,,"50,330,000","2,443"
SURVEY,2022,9,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,2.65,"47,868,000","184,239,000","8,225,300,000",,,"53,242,000","2,366"
SURVEY,2021,4,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.859,"49,192,000","184,893,000","8,225,300,000",,,"59,787,000","2,340"
SURVEY,2021,8,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.08,"55,559,000","191,968,000","8,225,300,000",,,"49,682,000","2,414"
SURVEY,2021,12,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.36,"44,913,000","197,181,000","8,225,300,000",,,"48,109,000","2,465"
SURVEY,2021,2,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.995,"48,107,000","167,710,000","8,225,300,000",,,"52,273,000","2,165"
SURVEY,2021,1,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.936,"53,531,000","181,919,000","8,225,300,000",,,"50,982,000","2,410"
SURVEY,2021,7,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.869,"50,749,000","199,919,000","8,225,300,000",,,"50,954,000","2,410"
SURVEY,2021,6,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.811,"51,357,000","200,941,000","8,225,300,000",,,"54,339,000","2,330"
SURVEY,2021,3,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.15,"51,711,000","187,353,000","8,225,300,000",,,"62,319,000","2,406"
SURVEY,2021,5,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.831,"59,970,000","188,225,000","8,225,300,000",,,"57,729,000","2,412"
SURVEY,2021,11,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.09,"54,352,000","197,130,000","8,225,300,000",,,"45,798,000","2,372"
SURVEY,2021,10,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.903,"45,906,000","208,340,000","8,225,300,000",,,"45,949,000","2,430"
SURVEY,2021,9,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.03,"46,626,000","201,535,000","8,225,300,000","9,130,700,000","151,621,400","49,626,000","2,345"
SURVEY,2020,4,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.03,"45,159,000","155,080,000","8,225,300,000",,,"61,015,000","2,314"
SURVEY,2020,8,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.772,"57,435,000","188,378,000","8,225,300,000",,,"50,153,000","2,442"
SURVEY,2020,12,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.734,"46,331,000","194,876,000","8,225,300,000",,,"51,678,000","2,439"
SURVEY,2020,2,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.892,"53,038,000","196,569,000","8,225,300,000",,,"48,148,000","2,253"
SURVEY,2020,1,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.754,"50,382,000","224,276,000","8,225,300,000",,,"52,727,000","2,414"
SURVEY,2020,7,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.759,"47,563,000","189,684,000","8,225,300,000",,,"46,261,000","2,436"
SURVEY,2020,6,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.717,"45,995,000","180,218,000","8,225,300,000",,,"55,658,000","2,296"
SURVEY,2020,3,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,1.72,"49,877,000","183,819,000","8,225,300,000",,,"56,212,000","2,408"
SURVEY,2020,5,1,,NATIONAL,US TOTAL,0,EGGS,"EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN",TOTAL,NOT SPECIFIED,0.772,"49,101,000","148,530,000","8,225,300,000",,,"52,839,000","2,352"
